id,tick_number,action,is_red_security,is_blue_security,is_yellow_security,is_blue_capability,is_yellow_capability,is_red_capability,is_attack,is_peer_sanction,is_manager_sanction,player_id
1436,36,8,1,0,0,0,0,1,4,0,0,91
1437,37,7,1,0,1,0,1,1,1,0,0,91
1438,38,6,1,1,1,1,1,1,0,0,0,91
1439,39,3,1,1,1,1,1,1,0,0,0,91
1440,40,3,1,1,1,1,1,1,0,0,0,91
1441,1,3,1,1,1,1,1,1,0,0,0,97
1442,2,6,0,1,0,1,0,0,4,0,0,97
1443,3,8,1,1,0,1,0,1,0,0,0,97
1444,4,7,1,1,1,1,1,1,0,0,0,97
1445,5,6,1,1,1,1,1,1,1,0,0,97
1446,6,3,1,1,1,1,1,1,0,0,0,97
1447,7,3,1,1,1,1,1,1,0,0,0,97
1448,8,6,1,1,1,1,1,1,1,0,0,97
1449,9,3,1,1,1,1,1,1,0,0,0,97
1450,10,8,1,1,1,1,1,1,2,0,0,97
1451,11,7,0,0,1,0,1,0,4,0,0,97
1452,12,8,1,0,1,0,1,1,0,0,0,97
1453,13,6,1,1,1,1,1,1,0,0,0,97
1454,14,3,1,1,1,1,1,1,0,0,0,97
1455,15,3,1,1,1,1,1,1,0,0,0,97
1456,16,3,1,1,1,1,1,1,0,0,0,97
1457,17,3,1,1,1,1,1,1,0,0,0,97
1458,18,3,1,1,1,1,1,1,0,0,0,97
1459,19,3,1,1,1,1,1,1,0,0,0,97
1460,20,3,0,1,1,1,1,0,2,0,0,97
1461,21,8,1,0,1,0,1,1,1,0,0,97
1462,22,6,1,1,1,1,1,1,0,0,0,97
1463,23,3,1,1,1,1,1,1,0,0,0,97
1464,24,6,1,1,1,1,1,1,1,0,0,97
1465,25,6,0,1,0,1,0,0,4,0,0,97
1466,26,8,1,1,0,1,0,1,0,0,0,97
1467,27,7,1,1,1,1,1,1,3,0,0,97
1468,28,6,1,1,1,1,1,1,1,0,0,97
1469,29,3,1,1,1,1,1,1,0,0,0,97
1470,30,6,1,1,1,1,1,1,1,0,0,97
1471,31,3,1,1,1,1,1,1,0,0,0,97
1472,32,6,1,1,1,1,1,1,1,0,0,97
1473,33,3,1,1,1,1,1,1,0,0,0,97
1474,34,7,1,1,1,1,1,1,3,0,0,97
1475,35,8,1,1,1,1,1,1,2,0,0,97
1476,36,8,1,0,0,0,0,1,4,0,0,97
1477,37,7,1,0,1,0,1,1,1,0,0,97
1478,38,6,1,1,1,1,1,1,0,0,0,97
1479,39,3,1,1,1,1,1,1,0,0,0,97
1480,40,3,1,1,1,1,1,1,0,0,0,97
1481,1,3,1,1,1,1,1,1,0,0,0,103
1482,2,7,0,0,1,0,1,0,4,0,0,103
1483,3,8,1,0,1,0,1,1,0,0,0,103
1484,4,6,1,1,1,1,1,1,0,0,0,103
1485,5,3,1,0,1,0,1,1,1,0,0,103
1486,6,6,1,1,1,1,1,1,0,0,0,103
1487,7,3,1,1,1,1,1,1,0,0,0,103
1488,8,6,1,1,1,1,1,1,1,0,0,103
1489,9,3,1,1,1,1,1,1,0,0,0,103
1490,10,3,0,1,1,1,1,0,2,0,0,103
1491,11,8,1,0,0,0,0,1,4,0,0,103
1492,12,3,1,0,0,0,0,1,0,0,0,103
1493,13,6,1,1,0,1,0,1,0,0,0,103
1494,14,7,1,1,1,1,1,1,0,0,0,103
1495,15,3,1,1,1,1,1,1,0,0,0,103
1496,16,3,1,1,1,1,1,1,0,0,0,103
1497,17,3,1,1,1,1,1,1,0,0,0,103
1498,18,3,1,1,1,1,1,1,0,0,0,103
1499,19,3,1,1,1,1,1,1,0,0,0,103
1500,20,3,0,1,1,1,1,0,2,0,0,103
1501,21,8,1,0,1,0,1,1,1,0,0,103
1502,22,6,1,1,1,1,1,1,0,0,0,103
1503,23,3,1,1,1,1,1,1,0,0,0,103
1504,24,6,1,1,1,1,1,1,1,0,0,103
1505,25,7,0,0,1,0,1,0,4,0,0,103
1506,26,8,1,0,1,0,1,1,0,0,0,103
1507,27,6,1,1,0,1,0,1,3,0,0,103
1508,28,7,1,0,1,0,1,1,1,0,0,103
1509,29,6,1,1,1,1,1,1,0,0,0,103
1510,30,3,1,0,1,0,1,1,1,0,0,103
1511,31,3,1,0,1,0,1,1,0,0,0,103
1512,32,6,1,1,1,1,1,1,1,0,0,103
1513,33,3,1,1,1,1,1,1,0,0,0,103
1514,34,3,1,1,0,1,0,1,3,0,0,103
1515,35,3,0,1,0,1,0,0,2,0,0,103
1516,36,7,0,0,1,0,1,0,4,0,0,103
